FECHA_CORTE;ACP_CODI;ACP_NOMB;ACP_SULEG;ACP_UBPO;ACP_BALEC;ACP_FELEC;ACP_BALEM;ACP_FELEM;ACP_TIREC;ACP_FECAD;ACP_TIPRO;ACP_TITU;ACP_PAREG;ACP_WDPAID;UBIGEO1;DEPARTAMENTO1;PROVINCIA1;DISTRITO1;UBIGEO2;DEPARTAMENTO2;PROVINCIA2;DISTRITO2;UBIGEO3;DEPARTAMENTO3;PROVINCIA3;DISTRITO3;UBIGEO4;DEPARTAMENTO4;PROVINCIA4;DISTRITO4;UBIGEO5;DEPARTAMENTO5;PROVINCIA5;DISTRITO5;UBIGEO6;DEPARTAMENTO6;PROVINCIA6;DISTRITO6;UBIGEO7;DEPARTAMENTO7;PROVINCIA7;DISTRITO7;UBIGEO8;DEPARTAMENTO8;PROVINCIA8;DISTRITO8;UBIGEO9;DEPARTAMENTO9;PROVINCIA9;DISTRITO9
20230906;ACP80;Bosque de Nogal y Bosque de Puentecilla;449.26;PIURA;R.M. N° 134-2015-MINAM;20150526; ;;10;20250526;Comunidad Campesina;Comunidad Campesina de Cujaca; ;555623654;200201;PIURA;AYABACA;AYABACA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP81;Bosques de Cuyas Cuchayo;102.65;PIURA;R.M. N° 153-2015-MINAM;20150608; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina de Cuyas Cuchayo; ;555623655;200201;PIURA;AYABACA;AYABACA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP82;Ronsoco Cocha;363.68;SAN MARTIN;R.M. N° 154-2015-MINAM;20150608; ;;10;20250608;Comunidad Campesina;Comunidad Campesina Paz y Esperanza; ;555623656;220101;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP83;Siete Cataratas - Qanchis Paccha;1008.51;CUSCO;R.M. N° 214-2015-MINAM;20150821; ;;10;20250821;Comunidad Campesina;Comunidad Campesina Quishuarani Collana; ;555623657;80404;CUSCO;CALCA;LARES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP84;San Luis;1144;CUSCO;R.M. N° 335-2015-MINAM;20151201; ;;10;20251201;Privado;Grimaldo Oswaldo Toledo Zamora; ;555623674;80903;CUSCO;LA CONVENCION;HUAYOPATA;80905;CUSCO;LA CONVENCION;OCOBAMBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP85;El Cortijo;22.35;LORETO;R.M. N° 358-2015-MINAM;20151230; ;;20;20351230;Privado;Harris Renee del Aguila Panduro y Sonia Maura Rojas de del Aguila; ;555623658;160601;LORETO;UCAYALI;CONTAMANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP86;San Pedro de Chuquibamba;19560;AMAZONAS;R.M. N° 359-2015-MINAM;20151230; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina San Pedro de Chuquibamba; ;555623659;10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10103;AMAZONAS;CHACHAPOYAS;BALSAS;10110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP87;Botafogo;16.87;MADRE DE DIOS;R.M. N° 012-2016-MINAM;20160122; ;;10;20260122;Privado;Ronal Felipe Pereyra Saldivar; ;555623660;170101;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP88;Aurora;38.96;LORETO;R.M. N° 024-2016-MINAM;20160209; ;;20;20360209;Privado;Jorge Leonidas López Tello y Albertina Silva Mondoñedo de López; ;555623661;160113;LORETO;MAYNAS;SAN JUAN BAUTISTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP89;Mangamanguilla de la Asociación Agraria Manga Manga de Salitral;1738.23;PIURA;R.M. N° 047-2016-MINAM;20160302; ;;Perpetuo;Perpetuo;Asociación;Asociación Agraria Manga Manga de Salitral; ;555623662;200406;PIURA;MORROPON;SALITRAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP90;Los Bosques de Dotor, Hualtacal, Pueblo Libre, La Jardina y Chorro Blanco;9944.73;PIURA;R.M. N° 084-2016-MINAM;20160404; ;;Perpetuo;Perpetuo;Comunidad Campesina;C.C Andanjo. PE 11052166; ;555623663;200302;PIURA;HUANCABAMBA;CANCHAQUE;200302;PIURA;HUANCABAMBA;CANCHAQUE;200407;PIURA;MORROPON;SAN JUAN DE BIGOTE;200406;PIURA;MORROPON;SALITRAL;;;;;;;;;;;;;;;;;;;;
20230906;ACP91;Bosque Seco de la Comunidad Campesina Cesar Vallejo de Palo Blanco;200;PIURA;R.M. N° 106-2016-MINAM;20160427; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina Cesar Vallejo de Palo Blanco; ;555623665;200401;PIURA;MORROPON;CHULUCANAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP92;Bosques Montanos y Páramos Chicuate - Chinguelas;27107.45;PIURA;R.M. N° 138-2016-MINAM;20160604; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina Segunda y Cajas; ;555623666;200301;PIURA;HUANCABAMBA;HUANCABAMBA;200201;PIURA;AYABACA;AYABACA;200206;PIURA;AYABACA;PACAIPAMPA;200303;PIURA;HUANCABAMBA;EL CARMEN DE LA FRONTERA;;;;;;;;;;;;;;;;;;;;
20230906;ACP93;Palmonte;14.31;SAN MARTIN;R.M. N° 157-2016-MINAM;20160621; ;;20;20360621;Privado;Oscar Enrique Butron Medina y Lucila Yamile Eslava Aponte; ;555623667;220904;SAN MARTIN;SAN MARTIN;CHAZUTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP94;Sabalillo;22.69;LORETO;R.M. N° 158-2016-MINAM;20160621; ;;20;20360621;Privado;Jorge Leónidas López Tello y María Albertina Silva Mondoñedo; ;555623668;160113;LORETO;MAYNAS;SAN JUAN BAUTISTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP95;Santuario de La Verónica;16.71;CUSCO;R.M. N° 177-2016-MINAM;20160708; ;;20;20360708;Privado;Teófilo Bellota Atayupanqui y  Martina Paredes de Bellota; ;555623669;81306;CUSCO;URUBAMBA;OLLANTAYTAMBO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP95;Santuario de La Verónica;4.09;CUSCO;R.M. N° 177-2016-MINAM;20160708; ;;20;20360708;Privado;Teófilo Bellota Atayupanqui y  Martina Paredes de Bellota; ;555623669;81306;CUSCO;URUBAMBA;OLLANTAYTAMBO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP96;Fundo Rosita;244.93;LORETO;R.M. N° 179-2016-MINAM;20160713; ;;10;20260713;Privado;Weyder Murrieta Santillán; ;555623670;160113;LORETO;MAYNAS;SAN JUAN BAUTISTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP97;Machusaniaca II;12.98;CUSCO;R.M. N° 185-2016-MINAM;20160721; ;;20;20360721;Privado;Venecio Cutipa Quispe y Lucila Huanca Chillihuani; ;555623671;81203;CUSCO;QUISPICANCHI;CAMANTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP98;Lomas del Cerro Campana;4564.98;LA LIBERTAD;R.M. N° 192-2016-MINAM;20160726; ;;10;20260726;Universidad;Universidad Nacional de Trujillo; ;555623672;130104;LA LIBERTAD;TRUJILLO;HUANCHACO;130207;LA LIBERTAD;ASCOPE;SANTIAGO DE CAO;130202;LA LIBERTAD;ASCOPE;CHICAMA;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP99;Machusaniaca I;22.01;CUSCO;R.M. N° 193-2016-MINAM;20160726; ;;20;20360726;Privado;Venecio Cutipa Quispe y Lucila Huanca Chillihuani; ;555623673;81203;CUSCO;QUISPICANCHI;CAMANTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
